code,year,ed,infdi,outfdi,rol,ps,ge,rq,coc,va,gdpgr,gdpcap,tax,hdi,ts,ins
BRN,2010,2.13052824,3.50703688,1.757495423,0.779217,1.277547,0.901702,1.110249,0.863385,-0.65057,2.598965746,33437.1217,15.7,0.827,95368946,0.713588333
BRN,2011,2.29753347,3.730949183,4.694531672,0.84996,1.085194,0.896932,1.154296,0.861644,-0.61034,3.745318352,34244.2069,16.7,0.831,995365404,0.706281
BRN,2012,1.68713489,4.540677437,1.757495423,0.793017,0.909327,0.8434,1.151749,0.545805,-0.50637,0.912841671,34096.9076,15.4,0.839,105641024,0.622821333
BRN,2013,1.64316082,4.286776224,6.077623368,0.594529,1.074022,0.869797,1.105576,0.646115,-0.50507,-2.12602852,32924.99,15.8,0.839,110936879,0.630828167
BRN,2014,1.95167476,3.356501991,4.147590192,0.472453,1.261507,1.086186,0.985129,0.53139,-0.62503,-2.50835257,31678.9373,15.8,0.838,102420969,0.618605833
BRN,2015,2.54979652,1.324701748,1.079963115,0.407877,1.242662,1.059632,0.852387,0.572723,-0.75415,-0.39238375,31164.0363,8,0.838,898937901,0.563521833
BRN,2016,2.64696809,-1.32052234,0.613968178,0.561681,1.154172,1.083784,0.593397,0.568482,-0.90101,-2.47791772,30038.7345,8,0.839,873182671,0.510084333
BRN,2017,2.39392709,3.858208317,6.077623368,0.649717,1.160305,1.146735,0.717672,0.715172,-0.9487,1.328602552,30101.5288,8,0.838,85176749,0.5734835
BRN,2018,2.40880491,3.804741353,4.694531672,0.629349,1.24136,1.251249,0.686431,0.795956,-0.86269,0.052237791,29802.7829,8,0.836,938963199,0.623609167
BRN,2019,2.38224667,2.771141484,3.351746876,0.614343,1.108799,1.317982,0.63452,0.802283,-0.9679,3.869109865,30646.1092,8,0.838,108509658,0.5850045
BRN,2020,1.00174037,4.710565406,6.077623368,0.931135,1.123706,1.438427,0.9142,1.28122,-0.93222,1.133573351,30696.8771,16.7,0.827,110291004,0.792744667
BRN,2021,1.00174037,1.461817222,6.077623368,0.8612082,1.171651721,1.406792045,0.987135231,1.216357827,-0.848819256,-1.590762601,29673.16588,16.7,0.829,110291004,0.799054295
BRN,2022,1.00174037,-1.752933706,6.077623368,0.934209585,1.257367969,1.422244668,1.067043424,1.174819589,-0.84882,-1.628331545,28954.06409,16.7,0.83,110291004,0.834477539
IDN,2010,0.23798854,2.025179138,0.554325076,-0.63998,-0.85392,-0.21437,-0.41586,-0.75156,-0.03777,6.223854181,2720.19162,42.5,0.665,467012739,-0.485576667
IDN,2011,0.26963547,2.302984285,1.011965967,-0.593,-0.77011,-0.25945,-0.35191,-0.70185,-0.00853,6.169784208,2849.35499,32.2,0.673,501800132,-0.447475
IDN,2012,0.28832317,2.309780327,0.815426297,-0.57565,-0.59326,-0.273,-0.27876,-0.63979,0.067613,6.030050653,2980.61011,42.5,0.681,495828983,-0.382141167
